                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.80768,                0.59733,                 1.0365,                0.88802,                0.91382,                0.94709,                0.80068,                0.62371,                0.44076,                0.93418,             0.00067449,             0.00067449,             0.00067449
                     35,                0.79946,                0.58891,                 1.0293,                0.89293,                 0.8863,                0.93875,                0.79035,                0.64106,                0.45691,                0.94185,             0.00065091,             0.00065091,             0.00065091
                     36,                0.79511,                0.57953,                 1.0274,                0.87784,                0.91437,                0.94214,                0.79467,                0.62176,                0.44225,                0.93287,             0.00062733,             0.00062733,             0.00062733
                     37,                0.79677,                0.57639,                 1.0282,                0.88857,                0.90941,                0.94051,                  0.798,                0.62986,                0.42626,                0.93639,             0.00060375,             0.00060375,             0.00060375
                     38,                0.79198,                0.57104,                 1.0264,                0.87726,                0.91884,                0.94292,                0.79971,                0.62692,                0.42871,                0.94096,             0.00058017,             0.00058017,             0.00058017
                     39,                0.79063,                0.56304,                 1.0222,                0.88636,                0.92077,                 0.9437,                 0.7997,                0.62702,                0.42089,                 0.9367,              0.0005566,              0.0005566,              0.0005566
                     40,                0.78123,                0.55836,                 1.0211,                0.87828,                0.91274,                0.94437,                0.80449,                0.61645,                0.42571,                0.92665,             0.00053302,             0.00053302,             0.00053302
                     41,                0.77503,                0.55137,                 1.0159,                0.88452,                0.92059,                0.94668,                0.80174,                0.62418,                0.41674,                0.93177,             0.00050944,             0.00050944,             0.00050944
                     42,                0.76698,                0.53954,                 1.0138,                 0.8826,                  0.921,                0.94514,                0.80444,                0.61985,                0.41343,                0.93767,             0.00048586,             0.00048586,             0.00048586
                     43,                0.76541,                0.54329,                 1.0106,                0.88312,                 0.9069,                0.94054,                0.79885,                0.61227,                0.42906,                0.93437,             0.00046228,             0.00046228,             0.00046228
                     44,                0.76665,                0.53979,                 1.0133,                0.88754,                0.92158,                 0.9446,                 0.8024,                0.62006,                0.41883,                0.93638,              0.0004387,              0.0004387,              0.0004387
                     45,                0.75999,                0.53368,                 1.0125,                0.87915,                0.92472,                0.94343,                0.80308,                0.61047,                0.41535,                0.93564,             0.00041512,             0.00041512,             0.00041512
                     46,                0.75327,                0.53003,                   1.01,                 0.8979,                0.90843,                0.94469,                0.80438,                 0.6177,                0.41471,                0.94066,             0.00039155,             0.00039155,             0.00039155
                     47,                0.74968,                0.52341,                 1.0076,                0.89011,                0.91464,                0.94556,                0.80537,                0.61242,                0.41159,                0.93038,             0.00036797,             0.00036797,             0.00036797
                     48,                0.75366,                0.52118,                 1.0097,                0.89147,                0.91408,                0.94678,                 0.8066,                0.61648,                0.40707,                0.93459,             0.00034439,             0.00034439,             0.00034439
                     49,                0.74423,                0.51238,                 1.0049,                0.89772,                0.91392,                0.94384,                0.80599,                0.61261,                0.41331,                0.94241,             0.00032081,             0.00032081,             0.00032081
                     50,                0.73774,                0.51311,                 1.0045,                0.88895,                0.90464,                0.94459,                0.80474,                0.61258,                 0.4064,                0.93628,             0.00029723,             0.00029723,             0.00029723
                     51,                0.67798,                0.41722,                0.97192,                0.89464,                0.91203,                 0.9432,                0.80874,                0.61265,                0.40727,                0.94158,             0.00027365,             0.00027365,             0.00027365
                     52,                0.66471,                0.40832,                0.96671,                0.88712,                0.92363,                0.94725,                0.81376,                0.61026,                0.39972,                0.93327,             0.00025007,             0.00025007,             0.00025007
                     53,                0.66122,                0.40496,                0.96264,                0.89243,                0.91963,                0.94641,                0.81315,                0.61266,                0.39891,                0.93566,              0.0002265,              0.0002265,              0.0002265
                     54,                0.65158,                0.39606,                0.95875,                0.90757,                0.90474,                0.94685,                0.81277,                 0.6134,                0.39216,                0.93735,             0.00020292,             0.00020292,             0.00020292
                     55,                0.64423,                0.38753,                0.95429,                0.90698,                0.90709,                0.94927,                0.81597,                0.61242,                0.39053,                0.93505,             0.00017934,             0.00017934,             0.00017934
                     56,                0.64082,                0.38982,                0.95119,                0.89084,                 0.9213,                0.94808,                0.81511,                0.60841,                 0.3901,                 0.9363,             0.00015576,             0.00015576,             0.00015576
                     57,                0.63661,                0.38345,                0.94961,                0.90435,                0.91211,                0.94815,                0.81321,                0.60976,                0.39029,                0.93156,             0.00013218,             0.00013218,             0.00013218
                     58,                0.63121,                0.37807,                0.94613,                0.90101,                0.90813,                0.94739,                 0.8163,                0.60506,                0.39428,                 0.9293,              0.0001086,              0.0001086,              0.0001086
                     59,                 0.6264,                0.37351,                0.94302,                0.90043,                0.91279,                0.94917,                0.81441,                0.60641,                0.38721,                 0.9321,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     60,                0.61986,                0.37137,                  0.945,                 0.9057,                0.90831,                 0.9491,                 0.8155,                0.60722,                0.38917,                0.93456,             6.1447e-05,             6.1447e-05,             6.1447e-05
