                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2368,                 1.7951,                 1.1875,                0.64123,                0.71498,                0.71779,                0.51514,                0.93384,                 1.3583,                  1.038,             0.00047514,             0.00047514,             0.00047514
                      2,                 1.2062,                 1.3134,                 1.2073,                0.64247,                0.70531,                0.73806,                0.54954,                0.88614,                 1.0421,                 1.0366,             0.00093577,             0.00093577,             0.00093577
                      3,                 1.2042,                 1.1696,                  1.212,                0.63223,                0.75641,                0.73382,                0.55021,                 0.8507,                 0.9173,                 1.0378,              0.0013807,              0.0013807,              0.0013807
                      4,                  1.169,                 1.0895,                 1.1933,                0.70387,                0.67995,                0.74771,                0.56925,                0.86439,                0.87912,                 1.0307,              0.0013583,              0.0013583,              0.0013583
                      5,                 1.1437,                 1.0451,                  1.191,                0.68075,                0.76648,                0.77826,                  0.592,                0.81918,                0.91401,                 1.0228,              0.0013583,              0.0013583,              0.0013583
                      6,                 1.1121,                0.99536,                 1.1727,                0.76974,                0.80011,                0.83095,                0.63836,                0.83548,                0.74252,                 1.0084,              0.0013347,              0.0013347,              0.0013347
                      7,                 1.0793,                0.94628,                 1.1588,                0.75238,                0.81061,                0.85004,                0.65689,                0.78945,                 0.7146,                0.99568,              0.0013111,              0.0013111,              0.0013111
                      8,                 1.0498,                0.90134,                 1.1426,                0.76528,                0.82404,                0.86413,                  0.679,                0.79017,                0.67882,                  1.001,              0.0012875,              0.0012875,              0.0012875
                      9,                 1.0344,                0.88577,                  1.138,                0.79388,                0.79484,                0.85933,                0.67739,                 0.7314,                0.71945,                0.98294,               0.001264,               0.001264,               0.001264
                     10,                 1.0057,                0.85693,                 1.1294,                0.79971,                0.82903,                0.86427,                0.67809,                0.74406,                0.69129,                0.96629,              0.0012404,              0.0012404,              0.0012404
                     11,                0.99527,                0.84186,                 1.1213,                0.78705,                0.86005,                0.87574,                0.70837,                0.70853,                0.61429,                0.96603,              0.0012168,              0.0012168,              0.0012168
                     12,                0.96843,                0.81563,                 1.1065,                0.83625,                0.84619,                0.89967,                0.72293,                0.71011,                0.58451,                0.97957,              0.0011932,              0.0011932,              0.0011932
                     13,                0.96333,                0.78822,                 1.1056,                 0.8374,                0.85196,                0.89862,                0.73707,                0.69139,                0.58057,                0.96618,              0.0011696,              0.0011696,              0.0011696
                     14,                0.95198,                0.77795,                 1.1018,                0.83276,                0.84743,                0.90097,                0.72949,                0.71239,                0.57903,                0.96882,              0.0011461,              0.0011461,              0.0011461
                     15,                0.94308,                 0.7718,                 1.0963,                0.87306,                0.85471,                0.92292,                0.75181,                0.69018,                 0.5417,                0.96156,              0.0011225,              0.0011225,              0.0011225
                     16,                0.92426,                0.74416,                 1.0873,                0.82165,                  0.897,                0.92001,                0.75588,                0.66987,                0.53849,                0.96212,              0.0010989,              0.0010989,              0.0010989
                     17,                0.92288,                0.74465,                 1.0902,                0.88065,                0.86588,                0.92645,                0.76757,                0.66484,                0.50445,                0.96532,              0.0010753,              0.0010753,              0.0010753
                     18,                0.91398,                0.72709,                 1.0856,                0.83914,                0.88554,                0.92033,                0.75801,                0.68269,                0.53507,                0.96231,              0.0010517,              0.0010517,              0.0010517
                     19,                0.90828,                0.71721,                 1.0816,                0.84136,                 0.8894,                0.92321,                0.76754,                0.65157,                0.50488,                0.95397,              0.0010282,              0.0010282,              0.0010282
                     20,                 0.8951,                 0.7012,                 1.0735,                0.83365,                0.88542,                0.91632,                0.74183,                0.70629,                0.53827,                0.97824,              0.0010046,              0.0010046,              0.0010046
                     21,                0.88232,                 0.6903,                 1.0671,                0.87577,                0.88283,                 0.9326,                0.76674,                0.70619,                0.49033,                0.97614,             0.00098101,             0.00098101,             0.00098101
                     22,                0.87743,                0.69001,                 1.0687,                0.85124,                0.88415,                0.93112,                0.77413,                0.66173,                0.49679,                 0.9669,             0.00095743,             0.00095743,             0.00095743
                     23,                0.87536,                0.67463,                 1.0665,                0.84579,                0.86938,                0.91504,                0.75763,                0.67176,                0.50418,                0.96124,             0.00093385,             0.00093385,             0.00093385
                     24,                0.86214,                0.66834,                   1.06,                 0.8789,                0.88999,                0.93733,                0.78424,                0.65401,                0.46679,                0.96057,             0.00091027,             0.00091027,             0.00091027
                     25,                0.85689,                0.66269,                 1.0556,                0.88866,                0.87564,                0.93027,                0.77422,                0.66221,                0.48175,                0.96287,             0.00088669,             0.00088669,             0.00088669
                     26,                0.86344,                0.65088,                 1.0625,                 0.8724,                0.89098,                0.93013,                0.77735,                0.64556,                0.48207,                 0.9619,             0.00086312,             0.00086312,             0.00086312
                     27,                0.84705,                0.64349,                 1.0534,                0.86062,                0.89722,                0.93328,                0.78245,                0.66339,                0.47587,                0.95979,             0.00083954,             0.00083954,             0.00083954
                     28,                0.84228,                 0.6342,                  1.052,                0.85909,                0.90237,                0.93072,                0.78101,                0.64164,                0.46571,                0.95263,             0.00081596,             0.00081596,             0.00081596
                     29,                0.83445,                0.62606,                 1.0462,                0.88332,                0.87876,                0.93817,                0.78624,                0.63747,                0.45884,                 0.9426,             0.00079238,             0.00079238,             0.00079238
                     30,                0.83383,                0.62242,                 1.0434,                0.87611,                0.89586,                0.93407,                0.78155,                0.63677,                0.46252,                0.94849,              0.0007688,              0.0007688,              0.0007688
                     31,                 0.8241,                0.61324,                 1.0456,                0.88439,                 0.8912,                0.93826,                0.79169,                0.63631,                0.46149,                0.94418,             0.00074522,             0.00074522,             0.00074522
                     32,                0.81788,                0.60924,                 1.0399,                0.85786,                0.91923,                0.93883,                0.78902,                0.63698,                0.45697,                0.93805,             0.00072164,             0.00072164,             0.00072164
                     33,                0.81145,                 0.5964,                 1.0324,                0.85991,                0.92001,                0.94091,                0.79435,                0.63397,                0.43897,                0.93383,             0.00069807,             0.00069807,             0.00069807
